Start training Indian_Pines_Corrected dataset
i 1, MSE Loss: 0.544761061668396
i 2, MSE Loss: 0.5419610440731049
i 3, MSE Loss: 0.5413549741109213
i 4, MSE Loss: 0.5406114757061005
i 5, MSE Loss: 0.5382254838943481
i 6, MSE Loss: 0.5379322369893392
i 7, MSE Loss: 0.5363576752798898
i 8, MSE Loss: 0.5355973914265633
i 9, MSE Loss: 0.5344132913483514
i 10, MSE Loss: 0.5332019865512848
i 11, MSE Loss: 0.5321276133710687
i 12, MSE Loss: 0.5311707506577173
i 13, MSE Loss: 0.5302186562464788
i 14, MSE Loss: 0.5292434905256543
i 15, MSE Loss: 0.5283677379290262
i 16, MSE Loss: 0.5276071466505527
i 17, MSE Loss: 0.5271482572836035
i 18, MSE Loss: 0.5263170268800523
i 19, MSE Loss: 0.5253508624277616
i 20, MSE Loss: 0.5243353575468064
i 21, MSE Loss: 0.5233866543996901
i 22, MSE Loss: 0.5225031565536152
i 23, MSE Loss: 0.5215986656106036
i 24, MSE Loss: 0.52077699949344
i 25, MSE Loss: 0.5197719192504883
i 26, MSE Loss: 0.5188525594197787
i 27, MSE Loss: 0.5177920791837904
i 28, MSE Loss: 0.5168069750070572
i 29, MSE Loss: 0.5157799946850744
i 30, MSE Loss: 0.5147694130738576
i 31, MSE Loss: 0.5137506185039398
i 32, MSE Loss: 0.5127693675458431
i 33, MSE Loss: 0.5117518983104012
i 34, MSE Loss: 0.5107870811925215
i 35, MSE Loss: 0.5097387152058738
i 36, MSE Loss: 0.508681139184369
i 37, MSE Loss: 0.5076564228212511
i 38, MSE Loss: 0.5065640195419914
i 39, MSE Loss: 0.5054734876522651
i 40, MSE Loss: 0.5043206945061683
i 41, MSE Loss: 0.5031912559416236
i 42, MSE Loss: 0.5020399561950138
i 43, MSE Loss: 0.500851956217788
i 44, MSE Loss: 0.49964900788935745
i 45, MSE Loss: 0.49842844737900627
i 46, MSE Loss: 0.4972314387559891
i 47, MSE Loss: 0.4960126686603465
i 48, MSE Loss: 0.4947124843796094
i 49, MSE Loss: 0.4933626530121784
i 50, MSE Loss: 0.49200433552265166
i 51, MSE Loss: 0.4905871895014071
i 52, MSE Loss: 0.48927941689124477
i 53, MSE Loss: 0.48785108946404365
i 54, MSE Loss: 0.48640988877526037
i 55, MSE Loss: 0.4849607207558372
i 56, MSE Loss: 0.483510398971183
i 57, MSE Loss: 0.482037903969748
i 58, MSE Loss: 0.48050310539788216
i 59, MSE Loss: 0.47884194527642204
i 60, MSE Loss: 0.4772147516409556
i 61, MSE Loss: 0.4756013032842855
i 62, MSE Loss: 0.4738676091355662
i 63, MSE Loss: 0.47213874307889786
i 64, MSE Loss: 0.4704560376703739
i 65, MSE Loss: 0.46869643101325403
i 66, MSE Loss: 0.46698737234780285
i 67, MSE Loss: 0.46513656137594533
i 68, MSE Loss: 0.4633539862492505
i 69, MSE Loss: 0.46158532431160193
i 70, MSE Loss: 0.4597756892442703
i 71, MSE Loss: 0.4579655956214582
i 72, MSE Loss: 0.45608557595147026
i 73, MSE Loss: 0.4542416444379989
i 74, MSE Loss: 0.4523564577102661
i 75, MSE Loss: 0.4504632075627645
i 76, MSE Loss: 0.4486428667840205
i 77, MSE Loss: 0.44679401485950915
i 78, MSE Loss: 0.44497948732131565
i 79, MSE Loss: 0.44310171656970737
i 80, MSE Loss: 0.4412451472133398
i 81, MSE Loss: 0.4393235743045807
i 82, MSE Loss: 0.4374362135805735
i 83, MSE Loss: 0.4355907142162323
i 84, MSE Loss: 0.4336774530155318
i 85, MSE Loss: 0.43171375709421494
i 86, MSE Loss: 0.4298165502936341
i 87, MSE Loss: 0.42795993096527013
i 88, MSE Loss: 0.4260471703653986
i 89, MSE Loss: 0.4241809148466989
i 90, MSE Loss: 0.42236041956477693
i 91, MSE Loss: 0.42048319650220345
i 92, MSE Loss: 0.41866702003323514
i 93, MSE Loss: 0.41687946069625115
i 94, MSE Loss: 0.41509834296525794
i 95, MSE Loss: 0.4133468847525747
i 96, MSE Loss: 0.41153522053112584
i 97, MSE Loss: 0.40987299029360114
i 98, MSE Loss: 0.4081053928453095
i 99, MSE Loss: 0.4063864514382199
i 100, MSE Loss: 0.4047529791295528
i 101, MSE Loss: 0.4030596395530323
i 102, MSE Loss: 0.40145920377736
i 103, MSE Loss: 0.39981644405323324
i 104, MSE Loss: 0.3982074928398316
i 105, MSE Loss: 0.3966048213697615
i 106, MSE Loss: 0.3949907564048497
i 107, MSE Loss: 0.39343518297248914
i 108, MSE Loss: 0.391921304166317
i 109, MSE Loss: 0.3904492730667832
i 110, MSE Loss: 0.38899408727884294
i 111, MSE Loss: 0.3874908109774461
i 112, MSE Loss: 0.3860214107802936
i 113, MSE Loss: 0.38456967525777563
i 114, MSE Loss: 0.38314390117139147
i 115, MSE Loss: 0.38172803378623466
i 116, MSE Loss: 0.3803115138976738
i 117, MSE Loss: 0.3789679632227645
i 118, MSE Loss: 0.37758620234869295
i 119, MSE Loss: 0.37622834779635195
i 120, MSE Loss: 0.3749279965957006
i 121, MSE Loss: 0.3736013531192275
i 122, MSE Loss: 0.37229801946487584
i 123, MSE Loss: 0.3709995351671203
i 124, MSE Loss: 0.3697100810466274
i 125, MSE Loss: 0.36841280972957613
i 126, MSE Loss: 0.3671817619885717
i 127, MSE Loss: 0.36593014518107014
i 128, MSE Loss: 0.36472440988291055
i 129, MSE Loss: 0.36350994805494946
i 130, MSE Loss: 0.3623327842125526
i 131, MSE Loss: 0.36116475810986437
i 132, MSE Loss: 0.3600026115097783
i 133, MSE Loss: 0.35888196303880304
i 134, MSE Loss: 0.35773599870614153
i 135, MSE Loss: 0.3565642738783801
i 136, MSE Loss: 0.3554259563851006
i 137, MSE Loss: 0.3543275667585596
i 138, MSE Loss: 0.3532571847672048
i 139, MSE Loss: 0.35219814590841747
i 140, MSE Loss: 0.35112408165420805
i 141, MSE Loss: 0.3500859076883776
i 142, MSE Loss: 0.3490429712643086
i 143, MSE Loss: 0.348061635569259
i 144, MSE Loss: 0.3470776685410076
i 145, MSE Loss: 0.34609942816454786
i 146, MSE Loss: 0.34508989016487174
i 147, MSE Loss: 0.3440873188023664
i 148, MSE Loss: 0.34310729741244705
i 149, MSE Loss: 0.3421230709192737
i 150, MSE Loss: 0.34114625871181486
i 151, MSE Loss: 0.340210966716539
i 152, MSE Loss: 0.3392690333880876
i 153, MSE Loss: 0.33831503899658427
i 154, MSE Loss: 0.3373922940779042
i 155, MSE Loss: 0.33649072810526814
i 156, MSE Loss: 0.3355947370903614
i 157, MSE Loss: 0.33469371829822564
i 158, MSE Loss: 0.33383661301075657
i 159, MSE Loss: 0.3329722060347503
i 160, MSE Loss: 0.33209453905001285
i 161, MSE Loss: 0.3312144791302474
i 162, MSE Loss: 0.33036017804234113
i 163, MSE Loss: 0.3295218940892834
i 164, MSE Loss: 0.3286805140172563
i 165, MSE Loss: 0.32784722591891435
i 166, MSE Loss: 0.327034400439406
i 167, MSE Loss: 0.32622507500077436
i 168, MSE Loss: 0.32542016286225545
i 169, MSE Loss: 0.3246405413870275
i 170, MSE Loss: 0.3238344848155975
i 171, MSE Loss: 0.32303465676237963
i 172, MSE Loss: 0.32225654404177223
i 173, MSE Loss: 0.321480230099893
i 174, MSE Loss: 0.3207049461445589
i 175, MSE Loss: 0.31992058745452334
i 176, MSE Loss: 0.3191610710187392
i 177, MSE Loss: 0.31842061734132177
i 178, MSE Loss: 0.31767505976591215
i 179, MSE Loss: 0.31691793781086053
i 180, MSE Loss: 0.3161842170688841
i 181, MSE Loss: 0.3154746200168989
i 182, MSE Loss: 0.3147428364871622
i 183, MSE Loss: 0.31401954794842035
i 184, MSE Loss: 0.3133077656283327
i 185, MSE Loss: 0.3125849510366852
i 186, MSE Loss: 0.311882590895058
i 187, MSE Loss: 0.3111801718804926
i 188, MSE Loss: 0.3105064930909492
i 189, MSE Loss: 0.3098086847199334
i 190, MSE Loss: 0.30913753023273066
i 191, MSE Loss: 0.30844304059188404
i 192, MSE Loss: 0.3077673717246701
i 193, MSE Loss: 0.30710664414680067
i 194, MSE Loss: 0.30643454263198006
i 195, MSE Loss: 0.3057667886599516
i 196, MSE Loss: 0.3051180834976994
i 197, MSE Loss: 0.3044597210769121
i 198, MSE Loss: 0.3038053877576433
i 199, MSE Loss: 0.30315922477736545
i 200, MSE Loss: 0.30252074234187604
i 201, MSE Loss: 0.30190265971926317
i 202, MSE Loss: 0.3012581857861859
i 203, MSE Loss: 0.30060857020575427
i 204, MSE Loss: 0.29999616617957753
i 205, MSE Loss: 0.2993853723130575
i 206, MSE Loss: 0.2987542430897361
i 207, MSE Loss: 0.298145503597559
i 208, MSE Loss: 0.29756568966863245
i 209, MSE Loss: 0.2969685512724105
i 210, MSE Loss: 0.2963685637428647
i 211, MSE Loss: 0.2957780617532007
i 212, MSE Loss: 0.29518980624259644
i 213, MSE Loss: 0.2946074278281888
i 214, MSE Loss: 0.29403848305483843
i 215, MSE Loss: 0.2934592689192572
i 216, MSE Loss: 0.2928905785083771
i 217, MSE Loss: 0.29232915617903255
i 218, MSE Loss: 0.29176720628224384
i 219, MSE Loss: 0.29120390688719816
i 220, MSE Loss: 0.29064825001088057
i 221, MSE Loss: 0.2901019451305338
i 222, MSE Loss: 0.28956553581598643
i 223, MSE Loss: 0.2890213321677238
i 224, MSE Loss: 0.28848290436768104
i 225, MSE Loss: 0.2879500796397527
i 226, MSE Loss: 0.2874108244360021
i 227, MSE Loss: 0.2868795379799368
i 228, MSE Loss: 0.28636869781634267
i 229, MSE Loss: 0.28585522442925965
i 230, MSE Loss: 0.2853274075233418
i 231, MSE Loss: 0.2848125918086989
i 232, MSE Loss: 0.28431019816419173
i 233, MSE Loss: 0.28381507591116584
i 234, MSE Loss: 0.2833136252613149
i 235, MSE Loss: 0.2828140085681956
i 236, MSE Loss: 0.2823193442013304
i 237, MSE Loss: 0.2818188564812584
i 238, MSE Loss: 0.28131919848818737
i 239, MSE Loss: 0.28081769212519275
i 240, MSE Loss: 0.28033030182123186
i 241, MSE Loss: 0.27984082507147334
i 242, MSE Loss: 0.27936963718538443
i 243, MSE Loss: 0.2788886830149364
i 244, MSE Loss: 0.27841333586905825
i 245, MSE Loss: 0.2779426345411612
i 246, MSE Loss: 0.27748765929685376
i 247, MSE Loss: 0.27702528889845257
i 248, MSE Loss: 0.2765576408635224
i 249, MSE Loss: 0.2760866661986194
i 250, MSE Loss: 0.2756224856376648
i 251, MSE Loss: 0.2751776288111371
i 252, MSE Loss: 0.2747121513599441
i 253, MSE Loss: 0.27426833515110693
i 254, MSE Loss: 0.2738172831380461
i 255, MSE Loss: 0.27337148230449826
i 256, MSE Loss: 0.2729185016360134
i 257, MSE Loss: 0.2724786072041738
i 258, MSE Loss: 0.2720609663068786
i 259, MSE Loss: 0.27161925611118554
i 260, MSE Loss: 0.2711867518723011
i 261, MSE Loss: 0.270758924698921
i 262, MSE Loss: 0.27034631138312
i 263, MSE Loss: 0.2699172675836222
i 264, MSE Loss: 0.2694971803011316
i 265, MSE Loss: 0.2690821114576088
slurmstepd: error: *** JOB 23021 ON node9 CANCELLED AT 2024-10-08T16:03:44 ***
