Start training Indian_Pines_Corrected dataset
Epoch 1, MSE Loss: 0.10010535121537172
Epoch 2, MSE Loss: 0.04130131875666288
Epoch 3, MSE Loss: 0.03462949197739363
Epoch 4, MSE Loss: 0.03141902839908233
Epoch 5, MSE Loss: 0.02939444069392406
Epoch 6, MSE Loss: 0.02795162017815388
Epoch 7, MSE Loss: 0.02686437996534201
Epoch 8, MSE Loss: 0.02596572165019237
Epoch 9, MSE Loss: 0.02527556737455038
Epoch 10, MSE Loss: 0.024715287662469422
Epoch 11, MSE Loss: 0.024214008095172736
Epoch 12, MSE Loss: 0.023807864000017828
Epoch 13, MSE Loss: 0.02345878799374287
Epoch 14, MSE Loss: 0.023152424999727653
Epoch 15, MSE Loss: 0.02288910903896277
Epoch 16, MSE Loss: 0.02265736620586652
Epoch 17, MSE Loss: 0.02245399912675986
Epoch 18, MSE Loss: 0.022274313271045686
Epoch 19, MSE Loss: 0.0221126823213238
Epoch 20, MSE Loss: 0.02197564456325311
Epoch 21, MSE Loss: 0.02185605670683659
Epoch 22, MSE Loss: 0.021755836181915723
Epoch 23, MSE Loss: 0.021656257518782064
Epoch 24, MSE Loss: 0.021586768025389086
Epoch 25, MSE Loss: 0.02152959154488949
Epoch 26, MSE Loss: 0.02148512586664695
Epoch 27, MSE Loss: 0.02144854391136995
Epoch 28, MSE Loss: 0.0214267332937855
Epoch 29, MSE Loss: 0.02141295819901503
Epoch 30, MSE Loss: 0.021410782715448967
Finish training Indian_Pines_Corrected dataset
Save checkpoint to ./experiments/models/checkpoints/MSTPlus/Indian_Pines_Corrected
finish all datasets
