Start training KSC_Corrected dataset
Epoch 1, MSE Loss: 0.14865181989162296
Epoch 2, MSE Loss: 0.08481578017138514
Epoch 3, MSE Loss: 0.07201519655522037
Epoch 4, MSE Loss: 0.05783772145161112
Epoch 5, MSE Loss: 0.054419369527528384
Epoch 6, MSE Loss: 0.05171734034803098
Epoch 7, MSE Loss: 0.0436538017838832
Epoch 8, MSE Loss: 0.04068322142411032
Epoch 9, MSE Loss: 0.03830066664884832
Epoch 10, MSE Loss: 0.03629406096833232
Epoch 11, MSE Loss: 0.03461762015552238
Epoch 12, MSE Loss: 0.033232728485084434
Epoch 13, MSE Loss: 0.032075414426636466
Epoch 14, MSE Loss: 0.031099420046690713
Epoch 15, MSE Loss: 0.030275973071339016
Epoch 16, MSE Loss: 0.02955072718024075
Epoch 17, MSE Loss: 0.02894013265479633
Epoch 18, MSE Loss: 0.028408614258653698
Epoch 19, MSE Loss: 0.02794040693866809
Epoch 20, MSE Loss: 0.027565142146567148
Epoch 21, MSE Loss: 0.027222562939031685
Epoch 22, MSE Loss: 0.02694746079166437
Epoch 23, MSE Loss: 0.026708056123677767
Epoch 24, MSE Loss: 0.026517923006628755
Epoch 25, MSE Loss: 0.02636645650237399
Epoch 26, MSE Loss: 0.026238038100997223
Epoch 27, MSE Loss: 0.026161955446886907
Epoch 28, MSE Loss: 0.026102611813133666
Epoch 29, MSE Loss: 0.02607122090775448
Epoch 30, MSE Loss: 0.026057399327426643
Finish training KSC_Corrected dataset
Save checkpoint to ./experiments/models/checkpoints/MSTPlus/KSC_Corrected
finish all datasets
