Start training Pavia dataset
Epoch 1, MSE Loss: 0.09278117225398044
Epoch 2, MSE Loss: 0.059276397536962525
Epoch 3, MSE Loss: 0.05119350248218954
Epoch 4, MSE Loss: 0.04670234543015385
Epoch 5, MSE Loss: 0.04360151582857799
Epoch 6, MSE Loss: 0.04138243226736151
Epoch 7, MSE Loss: 0.039721026694973786
Epoch 8, MSE Loss: 0.03855094500192872
Epoch 9, MSE Loss: 0.03744297289345199
Epoch 10, MSE Loss: 0.03659213724345745
Epoch 11, MSE Loss: 0.03587160607150368
Epoch 12, MSE Loss: 0.035266024561430805
Epoch 13, MSE Loss: 0.03476042135257354
Epoch 14, MSE Loss: 0.03431027355012371
Epoch 15, MSE Loss: 0.033931544346363765
Epoch 16, MSE Loss: 0.033602301531441885
slurmstepd: error: *** JOB 22950 ON node6 CANCELLED AT 2024-10-08T10:46:06 ***
