Start training Indian_Pines_Corrected dataset
Epoch 1, MSE Loss: 38094.8682, KL Loss: 276.5728
Epoch 2, MSE Loss: 9356.0695, KL Loss: 163.1967
Epoch 3, MSE Loss: 3938.5596, KL Loss: 110.7784
Epoch 4, MSE Loss: 2337.8407, KL Loss: 74.3620
Epoch 5, MSE Loss: 1880.5087, KL Loss: 69.2603
Epoch 6, MSE Loss: 1657.0460, KL Loss: 67.8227
Epoch 7, MSE Loss: 1478.3834, KL Loss: 62.0552
Epoch 8, MSE Loss: 1389.9775, KL Loss: 59.2861
Epoch 9, MSE Loss: 1337.9699, KL Loss: 58.3651
Epoch 10, MSE Loss: 1264.9211, KL Loss: 58.7710
Epoch 11, MSE Loss: 1204.7194, KL Loss: 58.8419
Epoch 12, MSE Loss: 1146.2780, KL Loss: 58.4061
Epoch 13, MSE Loss: 1129.5655, KL Loss: 58.5112
Epoch 14, MSE Loss: 1077.2880, KL Loss: 58.3685
Epoch 15, MSE Loss: 1055.3500, KL Loss: 57.5936
Epoch 16, MSE Loss: 1047.7768, KL Loss: 57.4702
Epoch 17, MSE Loss: 1035.3294, KL Loss: 57.1223
Epoch 18, MSE Loss: 1002.3775, KL Loss: 56.4758
Epoch 19, MSE Loss: 981.1648, KL Loss: 55.7144
Epoch 20, MSE Loss: 966.6769, KL Loss: 55.5083
Epoch 21, MSE Loss: 950.9929, KL Loss: 55.4319
Epoch 22, MSE Loss: 942.1889, KL Loss: 55.5543
Epoch 23, MSE Loss: 926.5286, KL Loss: 55.2034
Epoch 24, MSE Loss: 917.1166, KL Loss: 54.9621
Epoch 25, MSE Loss: 909.1693, KL Loss: 54.7200
Epoch 26, MSE Loss: 907.1875, KL Loss: 54.6882
Epoch 27, MSE Loss: 882.9860, KL Loss: 55.0761
Epoch 28, MSE Loss: 867.3059, KL Loss: 54.6165
Epoch 29, MSE Loss: 867.7004, KL Loss: 54.4933
Epoch 30, MSE Loss: 849.4144, KL Loss: 53.9850
Epoch 31, MSE Loss: 852.7629, KL Loss: 53.6718
Epoch 32, MSE Loss: 851.4130, KL Loss: 53.8340
Epoch 33, MSE Loss: 839.2549, KL Loss: 53.5896
Epoch 34, MSE Loss: 839.6183, KL Loss: 53.2860
Epoch 35, MSE Loss: 832.3943, KL Loss: 53.1431
Epoch 36, MSE Loss: 826.8154, KL Loss: 53.0842
Epoch 37, MSE Loss: 830.9760, KL Loss: 53.3962
Epoch 38, MSE Loss: 822.7992, KL Loss: 52.9539
Epoch 39, MSE Loss: 819.7527, KL Loss: 52.6322
Epoch 40, MSE Loss: 818.6935, KL Loss: 52.5669
Epoch 41, MSE Loss: 821.7391, KL Loss: 52.6032
Epoch 42, MSE Loss: 806.5940, KL Loss: 52.2276
Epoch 43, MSE Loss: 810.2444, KL Loss: 52.1075
Epoch 44, MSE Loss: 812.3611, KL Loss: 52.4491
Epoch 45, MSE Loss: 802.5903, KL Loss: 51.8133
Epoch 46, MSE Loss: 815.2711, KL Loss: 52.4610
Epoch 47, MSE Loss: 806.4527, KL Loss: 51.9481
Epoch 48, MSE Loss: 798.6455, KL Loss: 51.2142
Epoch 49, MSE Loss: 800.1597, KL Loss: 51.6870
Epoch 50, MSE Loss: 800.5263, KL Loss: 51.4346
Epoch 51, MSE Loss: 791.4629, KL Loss: 51.1207
Epoch 52, MSE Loss: 797.5540, KL Loss: 51.2518
Epoch 53, MSE Loss: 797.5081, KL Loss: 51.3452
Epoch 54, MSE Loss: 797.3345, KL Loss: 51.3433
Epoch 55, MSE Loss: 787.6731, KL Loss: 50.9504
Epoch 56, MSE Loss: 787.7909, KL Loss: 50.9774
Epoch 57, MSE Loss: 786.1566, KL Loss: 50.8827
Epoch 58, MSE Loss: 783.3957, KL Loss: 50.9562
Epoch 59, MSE Loss: 780.6327, KL Loss: 50.7242
Epoch 60, MSE Loss: 778.3048, KL Loss: 50.5140
Epoch 61, MSE Loss: 781.7809, KL Loss: 50.6361
Epoch 62, MSE Loss: 778.2313, KL Loss: 50.5828
Epoch 63, MSE Loss: 773.4266, KL Loss: 50.5113
Epoch 64, MSE Loss: 774.6893, KL Loss: 50.3545
Epoch 65, MSE Loss: 776.8772, KL Loss: 50.4243
Epoch 66, MSE Loss: 768.4716, KL Loss: 50.2295
Epoch 67, MSE Loss: 766.1608, KL Loss: 50.1768
Epoch 68, MSE Loss: 764.5779, KL Loss: 50.1321
Epoch 69, MSE Loss: 763.7483, KL Loss: 50.2476
Epoch 70, MSE Loss: 763.4040, KL Loss: 50.1453
Epoch 71, MSE Loss: 759.4319, KL Loss: 50.0435
Epoch 72, MSE Loss: 758.6332, KL Loss: 49.7681
Epoch 73, MSE Loss: 764.6321, KL Loss: 50.0765
Epoch 74, MSE Loss: 755.0116, KL Loss: 49.9692
Epoch 75, MSE Loss: 755.5125, KL Loss: 49.9082
slurmstepd: error: *** JOB 12419 ON node10 CANCELLED AT 2024-06-06T18:18:18 ***
