Start training Indian_Pines_Corrected dataset
Epoch 1, MSE Loss: 56943.2879, KL Loss: 167.5049
Epoch 2, MSE Loss: 50936.2201, KL Loss: 33.4827
Epoch 3, MSE Loss: 48732.0117, KL Loss: 39.1377
Epoch 4, MSE Loss: 46820.1254, KL Loss: 34.4781
Epoch 5, MSE Loss: 44921.1764, KL Loss: 37.7873
Epoch 6, MSE Loss: 42859.9175, KL Loss: 44.5543
Epoch 7, MSE Loss: 41161.2506, KL Loss: 52.1150
Epoch 8, MSE Loss: 39740.9274, KL Loss: 56.4459
Epoch 9, MSE Loss: 38443.0037, KL Loss: 58.7680
Epoch 10, MSE Loss: 37217.8232, KL Loss: 58.1737
Epoch 11, MSE Loss: 36097.7677, KL Loss: 60.8390
Epoch 12, MSE Loss: 35106.7493, KL Loss: 59.1690
Epoch 13, MSE Loss: 34132.6147, KL Loss: 62.0473
Epoch 14, MSE Loss: 33553.5958, KL Loss: 62.7460
Epoch 15, MSE Loss: 32540.2993, KL Loss: 65.3203
Epoch 16, MSE Loss: 31715.4881, KL Loss: 64.0390
Epoch 17, MSE Loss: 30954.8957, KL Loss: 63.7066
Epoch 18, MSE Loss: 30321.9276, KL Loss: 65.0996
Epoch 19, MSE Loss: 29643.1908, KL Loss: 64.3032
Epoch 20, MSE Loss: 29105.5874, KL Loss: 65.0982
Epoch 21, MSE Loss: 28583.9303, KL Loss: 65.1424
Epoch 22, MSE Loss: 28040.6531, KL Loss: 65.2291
Epoch 23, MSE Loss: 27552.6056, KL Loss: 65.8483
Epoch 24, MSE Loss: 27119.9994, KL Loss: 67.5353
Epoch 25, MSE Loss: 26679.1684, KL Loss: 65.8058
Epoch 26, MSE Loss: 26299.5995, KL Loss: 66.0516
Epoch 27, MSE Loss: 25937.5775, KL Loss: 64.9654
slurmstepd: error: *** JOB 23022 ON node9 CANCELLED AT 2024-10-08T16:03:46 ***
