Start training PaviaU dataset
Epoch 1, MSE Loss: 22681.4573, KL Loss: 71.7873
Epoch 2, MSE Loss: 11949.3764, KL Loss: 88.8282
Epoch 3, MSE Loss: 7733.1083, KL Loss: 87.6782
Epoch 4, MSE Loss: 6205.9057, KL Loss: 85.4637
Epoch 5, MSE Loss: 5731.9043, KL Loss: 82.4502
Epoch 6, MSE Loss: 5539.2400, KL Loss: 80.3485
Epoch 7, MSE Loss: 5448.4261, KL Loss: 78.9671
Epoch 8, MSE Loss: 5362.9400, KL Loss: 78.1546
Epoch 9, MSE Loss: 5320.7433, KL Loss: 77.3323
Epoch 10, MSE Loss: 5279.6694, KL Loss: 76.8727
Epoch 11, MSE Loss: 5248.7581, KL Loss: 76.3834
Epoch 12, MSE Loss: 5226.0537, KL Loss: 76.0975
Epoch 13, MSE Loss: 5226.0998, KL Loss: 75.6979
Epoch 14, MSE Loss: 5185.5649, KL Loss: 75.6781
Epoch 15, MSE Loss: 5163.1689, KL Loss: 75.6113
Epoch 16, MSE Loss: 5147.8534, KL Loss: 75.4604
Epoch 17, MSE Loss: 5139.3391, KL Loss: 75.2521
Epoch 18, MSE Loss: 5112.1867, KL Loss: 75.3082
Epoch 19, MSE Loss: 5099.2128, KL Loss: 75.3035
Epoch 20, MSE Loss: 5088.7323, KL Loss: 75.2437
Epoch 21, MSE Loss: 5079.0384, KL Loss: 75.2195
Epoch 22, MSE Loss: 5067.3530, KL Loss: 75.2188
Epoch 23, MSE Loss: 5055.3143, KL Loss: 75.1808
Epoch 24, MSE Loss: 5050.5999, KL Loss: 75.2245
Epoch 25, MSE Loss: 5039.8958, KL Loss: 75.0922
Epoch 26, MSE Loss: 5032.5606, KL Loss: 75.0590
Epoch 27, MSE Loss: 5021.6819, KL Loss: 75.1200
Epoch 28, MSE Loss: 5010.5115, KL Loss: 75.0697
Epoch 29, MSE Loss: 5011.8586, KL Loss: 75.0467
Epoch 30, MSE Loss: 5003.5645, KL Loss: 75.0507
Epoch 31, MSE Loss: 4997.1709, KL Loss: 75.0846
Epoch 32, MSE Loss: 5000.3362, KL Loss: 75.0928
Epoch 33, MSE Loss: 4988.8193, KL Loss: 75.0729
Epoch 34, MSE Loss: 4979.6300, KL Loss: 75.1619
Epoch 35, MSE Loss: 4969.4190, KL Loss: 75.1565
Epoch 36, MSE Loss: 4974.9091, KL Loss: 75.1244
Epoch 37, MSE Loss: 4963.1202, KL Loss: 75.1057
Epoch 38, MSE Loss: 4956.5206, KL Loss: 75.0770
