Start training Salinas_Corrected dataset
Epoch 1, MSE Loss: 74124.7306, KL Loss: 118.4327
Epoch 2, MSE Loss: 55163.1153, KL Loss: 84.1648
Epoch 3, MSE Loss: 42875.1979, KL Loss: 83.7722
Epoch 4, MSE Loss: 33415.6881, KL Loss: 82.5810
Epoch 5, MSE Loss: 26092.0838, KL Loss: 82.7966
Epoch 6, MSE Loss: 20684.2093, KL Loss: 82.4724
Epoch 7, MSE Loss: 16363.1555, KL Loss: 82.4115
Epoch 8, MSE Loss: 13018.5163, KL Loss: 82.9905
Epoch 9, MSE Loss: 10287.5227, KL Loss: 79.4000
Epoch 10, MSE Loss: 8392.1639, KL Loss: 77.9247
Epoch 11, MSE Loss: 6950.4667, KL Loss: 77.7349
Epoch 12, MSE Loss: 5836.2604, KL Loss: 77.2779
Epoch 13, MSE Loss: 5044.4978, KL Loss: 76.9828
Epoch 14, MSE Loss: 4352.2521, KL Loss: 76.6350
Epoch 15, MSE Loss: 3845.4652, KL Loss: 77.0592
Epoch 16, MSE Loss: 3310.7246, KL Loss: 76.1277
Epoch 17, MSE Loss: 2996.7217, KL Loss: 76.0533
Epoch 18, MSE Loss: 2634.0555, KL Loss: 75.1834
Epoch 19, MSE Loss: 2425.9650, KL Loss: 74.8653
Epoch 20, MSE Loss: 2251.6875, KL Loss: 74.3285
Epoch 21, MSE Loss: 2123.6264, KL Loss: 74.1321
Epoch 22, MSE Loss: 2029.6305, KL Loss: 74.2340
Epoch 23, MSE Loss: 1964.9921, KL Loss: 73.7758
Epoch 24, MSE Loss: 1898.8651, KL Loss: 74.3029
Epoch 25, MSE Loss: 1837.6964, KL Loss: 74.5494
Epoch 26, MSE Loss: 1743.9792, KL Loss: 74.2936
Epoch 27, MSE Loss: 1661.2382, KL Loss: 73.8974
Epoch 28, MSE Loss: 1635.8618, KL Loss: 73.6910
Epoch 29, MSE Loss: 1604.7915, KL Loss: 73.5026
Epoch 30, MSE Loss: 1573.9129, KL Loss: 73.5650
Epoch 31, MSE Loss: 1491.3766, KL Loss: 73.1114
Epoch 32, MSE Loss: 1479.0807, KL Loss: 72.8436
Epoch 33, MSE Loss: 1451.6749, KL Loss: 72.6707
Epoch 34, MSE Loss: 1429.4673, KL Loss: 72.6060
Epoch 35, MSE Loss: 1405.6671, KL Loss: 72.4019
Epoch 36, MSE Loss: 1384.6896, KL Loss: 72.3097
Epoch 37, MSE Loss: 1378.1673, KL Loss: 72.5052
Epoch 38, MSE Loss: 1367.0637, KL Loss: 72.3544
Epoch 39, MSE Loss: 1349.5974, KL Loss: 72.4048
Epoch 40, MSE Loss: 1348.2626, KL Loss: 72.1688
Epoch 41, MSE Loss: 1336.0736, KL Loss: 72.2180
Epoch 42, MSE Loss: 1339.1923, KL Loss: 72.3198
Epoch 43, MSE Loss: 1324.0916, KL Loss: 72.2327
Epoch 44, MSE Loss: 1320.3719, KL Loss: 72.2025
Epoch 45, MSE Loss: 1305.5105, KL Loss: 72.2987
Epoch 46, MSE Loss: 1297.8361, KL Loss: 72.3084
Epoch 47, MSE Loss: 1299.0311, KL Loss: 72.1799
Epoch 48, MSE Loss: 1289.2801, KL Loss: 72.2514
Epoch 49, MSE Loss: 1279.9687, KL Loss: 72.2227
Epoch 50, MSE Loss: 1276.4868, KL Loss: 72.1901
Epoch 51, MSE Loss: 1272.2089, KL Loss: 72.1385
Epoch 52, MSE Loss: 1272.4213, KL Loss: 72.0880
Epoch 53, MSE Loss: 1267.2205, KL Loss: 72.0696
Epoch 54, MSE Loss: 1253.3020, KL Loss: 72.1539
Epoch 55, MSE Loss: 1262.3866, KL Loss: 71.9133
Epoch 56, MSE Loss: 1254.6411, KL Loss: 71.9682
Epoch 57, MSE Loss: 1258.0329, KL Loss: 72.1163
Epoch 58, MSE Loss: 1240.4657, KL Loss: 72.1192
Epoch 59, MSE Loss: 1248.4878, KL Loss: 72.1360
Epoch 60, MSE Loss: 1244.8408, KL Loss: 72.1012
Epoch 61, MSE Loss: 1246.7704, KL Loss: 72.1560
Epoch 62, MSE Loss: 1242.9838, KL Loss: 72.1188
Epoch 63, MSE Loss: 1237.8618, KL Loss: 72.1026
Epoch 64, MSE Loss: 1233.7675, KL Loss: 72.1695
Epoch 65, MSE Loss: 1244.4434, KL Loss: 72.1359
Epoch 66, MSE Loss: 1237.5717, KL Loss: 72.0951
Epoch 67, MSE Loss: 1232.2144, KL Loss: 72.1638
Epoch 68, MSE Loss: 1237.0819, KL Loss: 72.1440
Epoch 69, MSE Loss: 1232.9300, KL Loss: 72.2158
Epoch 70, MSE Loss: 1226.8295, KL Loss: 72.1354
Epoch 71, MSE Loss: 1224.5776, KL Loss: 72.0916
Epoch 72, MSE Loss: 1222.5768, KL Loss: 72.1807
Epoch 73, MSE Loss: 1224.8317, KL Loss: 72.0512
Epoch 74, MSE Loss: 1224.4436, KL Loss: 72.1261
Epoch 75, MSE Loss: 1219.0420, KL Loss: 71.9861
Epoch 76, MSE Loss: 1227.9542, KL Loss: 72.1227
Epoch 77, MSE Loss: 1217.9266, KL Loss: 72.1526
Epoch 78, MSE Loss: 1214.1435, KL Loss: 72.1201
Epoch 79, MSE Loss: 1216.9615, KL Loss: 72.1111
Epoch 80, MSE Loss: 1220.4878, KL Loss: 72.1091
Epoch 81, MSE Loss: 1216.8531, KL Loss: 72.1918
Epoch 82, MSE Loss: 1218.6659, KL Loss: 72.1896
Epoch 83, MSE Loss: 1214.2975, KL Loss: 72.2200
Epoch 84, MSE Loss: 1216.5792, KL Loss: 72.1747
Epoch 85, MSE Loss: 1217.4504, KL Loss: 72.1809
Epoch 86, MSE Loss: 1214.9954, KL Loss: 72.1467
Epoch 87, MSE Loss: 1213.5450, KL Loss: 72.1477
Epoch 88, MSE Loss: 1211.9907, KL Loss: 72.1672
Epoch 89, MSE Loss: 1210.3931, KL Loss: 72.2270
Epoch 90, MSE Loss: 1208.2024, KL Loss: 72.1760
Epoch 91, MSE Loss: 1211.4658, KL Loss: 72.1256
Epoch 92, MSE Loss: 1205.3282, KL Loss: 72.0640
Epoch 93, MSE Loss: 1217.3326, KL Loss: 72.1569
Epoch 94, MSE Loss: 1211.5514, KL Loss: 72.1607
Epoch 95, MSE Loss: 1213.0399, KL Loss: 72.1997
Epoch 96, MSE Loss: 1210.9985, KL Loss: 72.1992
Epoch 97, MSE Loss: 1208.6663, KL Loss: 72.1743
Epoch 98, MSE Loss: 1213.5952, KL Loss: 72.2298
Epoch 99, MSE Loss: 1209.3797, KL Loss: 72.2543
Epoch 100, MSE Loss: 1204.8141, KL Loss: 72.1810
Finish training Salinas_Corrected dataset
Save checkpoint to ./experiments/models/checkpoints/VAE/Salinas_Corrected
finish all datasets
