Args:
	batch_size: 32
	checkpoint_dir: ./experiments/metric/checkpoints
	datasets: ['Indian_Pines_Corrected', 'KSC_Corrected', 'Pavia', 'PaviaU', 'Salinas_Corrected']
	embedding_dim: 256
	epochs: 50
	hidden_dim: 64
	image_size: 32
	layers: 16
	load_checkpoint: False
	lr: 0.0001
	save_checkpoint: True
Start training Indian_Pines_Corrected dataset
Epoch [1/50], Step [325/325], train_loss: 0.1084, train_acc: 0.6699, valid_loss: 0.1235, valid_acc: 0.5634
Epoch [2/50], Step [325/325], train_loss: 0.0421, train_acc: 0.8306, valid_loss: 0.1389, valid_acc: 0.5323
Epoch [3/50], Step [325/325], train_loss: 0.0236, train_acc: 0.8599, valid_loss: 0.1106, valid_acc: 0.6399
Epoch [4/50], Step [325/325], train_loss: 0.0160, train_acc: 0.8732, valid_loss: 0.1120, valid_acc: 0.6445
Epoch [5/50], Step [325/325], train_loss: 0.0129, train_acc: 0.8778, valid_loss: 0.1615, valid_acc: 0.5926
Epoch [6/50], Step [325/325], train_loss: 0.0108, train_acc: 0.8830, valid_loss: 0.1577, valid_acc: 0.6283
Epoch [7/50], Step [325/325], train_loss: 0.0103, train_acc: 0.8837, valid_loss: 0.1044, valid_acc: 0.7048
Epoch [8/50], Step [325/325], train_loss: 0.0098, train_acc: 0.8869, valid_loss: 0.1450, valid_acc: 0.6436
Epoch [9/50], Step [325/325], train_loss: 0.0097, train_acc: 0.8891, valid_loss: 0.1150, valid_acc: 0.7103
Epoch [10/50], Step [325/325], train_loss: 0.0093, train_acc: 0.8965, valid_loss: 0.1392, valid_acc: 0.7821
Epoch [11/50], Step [325/325], train_loss: 0.0084, train_acc: 0.9078, valid_loss: 0.1093, valid_acc: 0.8205
Epoch [12/50], Step [325/325], train_loss: 0.0087, train_acc: 0.9174, valid_loss: 0.1226, valid_acc: 0.8206
Epoch [13/50], Step [325/325], train_loss: 0.0083, train_acc: 0.9297, valid_loss: 0.1687, valid_acc: 0.6446
slurmstepd: error: *** JOB 10971 ON node5 CANCELLED AT 2024-05-26T00:53:20 ***
